3,7
6,12
5,9
4,7
8,13
5,8
3,4
4,5
11,72
7,16
17,13
18,69
8,68
6,28
10,41
2,75
11,43
10,25
10,73
14,18
8,44
17,16
10,58
12,5
8,55
1,28
8,54
20,54
15,63
10,34
18,24
13,25
19,95
6,18
6,64
9,34
18,46
7,17
4,90
17,100
15,49
14,3
19,42
12,88
14,26
15,64
7,31
3,19
15,30
20,82
11,4
9,21
10,40
20,93
19,18
16,43
6,3
14,24
8,24
9,35
2,73
1,57
1,28
3,91
93,33
60,0
35,38
68,25
32,57
72,61
43,98
73,7
44,22
32,66
33,47
98,47
22,24
95,87
97,99
40,36
31,8
61,9
6,36
30,19
20,67
90,26
38,73
31,78
51,81
97,5
71,79
46,43
5,93
98,41
56,2
80,32
6,64
98,22
31,86
19,98
54,87
20,90
25,70
3,32
0,88
44,61
2,90
40,8
12,42
63,14
46,26
75,52
84,82
40,37
52,1
50,2
70,56
19,27
32,86
92,97
48,11
17,87
42,13
24,88
24,87
5,97
47,51
18,76
78,99
64,91
93,83
32,30
81,89
1,71
55,1
34,97
32,77
45,56
7,5
86,75
54,34
10,31
19,59
19,72
15,62
97,32
32,94
72,45
82,2
16,12
25,43
16,50
70,23
36,89
31,66
99,43
15,86
45,87
73,55
73,29
56,39
46,0
74,23
27,93
